"BN10 7EX",,None,,,,539892,101248,50.793924,-0.016498
"BN10 7EY",,None,,,,539846,101236,50.793827,-0.017155
"BN10 7FB",,None,,,,540335,101221,50.793574,-0.010227
"BN10 7FD",,None,,,,539798,101458,50.795834,-0.017751
"BN10 7HA",,None,,,,539997,101238,50.793809,-0.015013
"BN10 7HB",,None,,,,540006,101206,50.793519,-0.014898
"BN10 7HD",,None,,,,540046,101201,50.793464,-0.014333
"BN10 7HE",,None,,,,539984,101192,50.793398,-0.015215
"BN10 7HF",,None,,,,539971,101199,50.793464,-0.015397
"BN10 7HG",,None,,,,540157,101153,50.793006,-0.012777
"BN10 7HH",,None,,,,540086,101215,50.793575,-0.013732
"BN10 7HJ",,None,,,,540242,101180,50.793228,-0.011561
"BN10 7HL",,None,,,,540241,101135,50.792824,-0.011593
"BN10 7HN",,None,,,,540251,101071,50.792246,-0.011475
"BN10 7HP",,None,,,,540295,101173,50.793152,-0.010813
"BN10 7HQ",,None,,,,540169,101183,50.793273,-0.012595
"BN10 7HR",,None,,,,540195,101195,50.793374,-0.012222
"BN10 7HT",,None,,,,539951,101203,50.793505,-0.015679
"BN10 7HW",,None,,,,540309,101119,50.792664,-0.010635
"BN10 7HX",,None,,,,540521,101106,50.792496,-0.007634
"BN10 7HY",,None,,,,540519,101042,50.791921,-0.007686
"BN10 7JA",,None,,,,540531,100974,50.791307,-0.007542
"BN10 7JB",,None,,,,540545,101033,50.791834,-0.007321
"BN10 7JD",,None,,,,540622,101027,50.791761,-0.006232
"BN10 7JE",,None,,,,540622,101067,50.792121,-0.006216
"BN10 7JF",,None,,,,540623,102654,50.806383,-0.005595
"BN10 7JG",,None,,,,540564,102548,50.805445,-0.006473
"BN10 7JH",,None,,,,540613,102419,50.804273,-0.005827
"BN10 7JL",,None,,,,540754,102487,50.804850,-0.003801
"BN10 7JP",,None,,,,540283,101267,50.794000,-0.010947
"BN10 7JQ",,None,,,,540693,102581,50.805710,-0.004630
"BN10 7JR",,None,,,,540353,101278,50.794082,-0.009950
"BN10 7JS",,None,,,,540321,101331,50.794566,-0.010384
"BN10 7JT",,None,,,,540391,101409,50.795245,-0.009333
"BN10 7JU",,None,,,,540466,101637,50.797281,-0.008211
"BN10 7JW",,None,,,,540650,102441,50.804462,-0.005294
"BN10 7JX",,None,,,,540438,101518,50.796218,-0.008653
"BN10 7JY",,None,,,,540498,101502,50.796060,-0.007808
"BN10 7LA",,None,,,,540507,101630,50.797208,-0.007632
"BN10 7LB",,None,,,,540592,101792,50.798643,-0.006365
"BN10 7LD",,None,,,,540530,101771,50.798470,-0.007252
"BN10 7LE",,None,,,,540586,101866,50.799310,-0.006421
"BN10 7LF",,None,,,,540713,102210,50.802371,-0.004489
"BN10 7LG",,None,,,,540624,102008,50.800577,-0.005828
"BN10 7LH",,None,,,,540639,102221,50.802488,-0.005534
"BN10 7LJ",,None,,,,540072,101271,50.794087,-0.013937
"BN10 7LL",,None,,,,540741,102626,50.806103,-0.003932
"BN10 7LN",,None,,,,540439,101711,50.797953,-0.008565
"BN10 7LP",,None,,,,540358,101591,50.796894,-0.009760
"BN10 7LQ",,None,,,,540584,102092,50.801342,-0.006363
"BN10 7LR",,None,,,,540343,101527,50.796322,-0.009997
"BN10 7LS",,None,,,,540258,101381,50.795031,-0.011258
"BN10 7LT",,None,,,,540167,101269,50.794046,-0.012591
"BN10 7LU",,None,,,,540089,101303,50.794370,-0.013684
"BN10 7LW",,None,,,,540312,101662,50.797543,-0.010385
"BN10 7LX",,None,,,,540054,101325,50.794577,-0.014172
"BN10 7LY",,None,,,,540137,101405,50.795276,-0.012964
"BN10 7NA",,None,,,,540237,101572,50.796752,-0.011483
"BN10 7NB",,None,,,,540282,101734,50.798197,-0.010783
"BN10 7ND",,None,,,,540294,101895,50.799641,-0.010551
"BN10 7NE",,None,,,,540338,101964,50.800251,-0.009901
"BN10 7NF",,None,,,,540286,102019,50.800758,-0.010617
"BN10 7NH",,None,,,,540776,101072,50.792128,-0.004031
"BN10 7NJ",,None,,,,540811,101149,50.792812,-0.003505
"BN10 7NL",,None,,,,540757,101220,50.793463,-0.004244
"BN10 7NN",,None,,,,540855,101167,50.792963,-0.002874
